State_name,State_postal_code,State_FIPS,Census_region,TOTAL__Total_Employment,TOTAL__month_updated,TOTAL__year_updated
Alabama,AL,1,South,0.06066445182724145,7,2014
Alaska,AK,2,West,-45.84908799358589,7,2014
Arizona,AZ,4,West,4.872578229027957,7,2014
Arkansas,AR,5,South,2.5965260261407996,7,2014
California,CA,6,West,2.696099800921292,7,2014
Colorado,CO,8,West,6.510095305330044,7,2014
Connecticut,CT,9,Northeast,-2.0237252475247547,7,2014
Delaware,DE,10,South,-9.233677910772576,7,2014
District of Columbia,DC,11,South,-0.11479346781940736,7,2014
Florida,FL,12,South,5.1880072312612935,7,2014
Georgia,GA,13,South,4.860961593172108,7,2014
Hawaii,HI,15,West,0.6173662551440362,7,2014
Idaho,ID,16,West,4.917493112947668,7,2014
Illinois,IL,17,Midwest,-0.854419066534251,7,2014
Indiana,IN,18,Midwest,-0.3207319952774679,7,2014
Iowa,IA,19,Midwest,-1.662319208322749,7,2014
Kansas,KS,20,Midwest,-2.753329844301977,7,2014
Kentucky,KY,21,South,1.1976059438635112,7,2014
Louisiana,LA,22,South,6.772158067591905,7,2014
Maine,ME,23,Northeast,0.1295477903391573,7,2014
Maryland,MD,24,South,1.4075963045005135,7,2014
Massachusetts,MA,25,Northeast,2.8484764428251985,7,2014
Michigan,MI,26,Midwest,-0.18345765158805927,7,2014
Minnesota,MN,27,Midwest,3.105914747842675,7,2014
Mississippi,MS,28,South,2.243306767526687,7,2014
Missouri,MO,29,Midwest,0.4252739483916468,7,2014
Montana,MT,30,West,0.5122846441947493,7,2014
Nebraska,NE,31,Midwest,5.4454161385720345,7,2014
Nevada,NV,32,West,0.704719387755115,7,2014
New Hampshire,NH,33,Northeast,-4.279440440864779,7,2014
New Jersey,NJ,34,Northeast,1.9534582866456152,7,2014
New Mexico,NM,35,West,2.39946040034813,7,2014
New York,NY,36,Northeast,-1.7391562059563603,7,2014
North Carolina,NC,37,South,-3.554502904425594,7,2014
North Dakota,ND,38,Midwest,14.481010638297874,7,2014
Ohio,OH,39,Midwest,-1.9780067116515698,7,2014
Oklahoma,OK,40,South,5.044472651742438,7,2014
Oregon,OR,41,West,0.04468151866960923,7,2014
Pennsylvania,PA,42,Northeast,1.5293706704238463,7,2014
Rhode Island,RI,44,Northeast,0.20890087660148104,7,2014
South Carolina,SC,45,South,6.763706654170587,7,2014
South Dakota,SD,46,Midwest,4.978896103896102,7,2014
Tennessee,TN,47,South,1.490050960407685,7,2014
Texas,TX,48,South,7.467919712263593,7,2014
Utah,UT,49,West,-0.7096096096096072,7,2014
Vermont,VT,50,Northeast,3.221455805892548,7,2014
Virginia,VA,51,South,0.6660544217687026,7,2014
Washington,WA,53,West,0.20389793362554087,7,2014
West Virginia,WV,54,South,1.2107413569975911,7,2014
Wisconsin,WI,55,Midwest,-2.722795827123692,7,2014
Wyoming,WY,56,West,6.459255856683499,7,2014
United States of America,US,-99,USA,1.6239252562738393,7,2014
